Tree_ID,Row,TreeNo,PointType,Latitude,Longitude,Status,Description
A1-001,A1,1,H,8.588244,98.565148,ปกติ,1
A1-002,A1,2,Tree,8.588216,98.565113,ปกติ,2
A1-003,A1,3,Tree,8.588224,98.565085,ปกติ,3
A1-004,A1,4,Tree,8.588218,98.565048,ปกติ,4
A1-005,A1,5,Tree,8.588201,98.56501,รอปลูกซ่อม,5F
A1-006,A1,6,Tree,8.588192,98.564983,ปกติ,6
A1-007,A1,7,Tree,8.588187,98.564962,ปกติ,7
A1-008,A1,8,T,8.588176,98.564939,ปกติ,8T
A2-001,A2,1,H,8.588115,98.565215,ปกติ,1
A2-002,A2,2,Tree,8.588118,98.56518,ปกติ,2
A2-003,A2,3,Tree,8.58813,98.565134,ปกติ,3
A2-004,A2,4,Tree,8.588124,98.565101,ปกติ,4
A2-005,A2,5,Tree,8.588121,98.565065,ปกติ,5
A2-006,A2,6,Tree,8.588111,98.565032,รอปลูกซ่อม,6F
A2-007,A2,7,Tree,8.588103,98.564998,รอปลูกซ่อม,7F
A2-008,A2,8,Tree,8.588089,98.564965,ปกติ,8
A2-009,A2,9,Tree,8.588079,98.564937,ปกติ,9
A2-010,A2,10,Tree,8.588066,98.564905,รอปลูกซ่อม,10F
A2-011,A2,11,Tree,8.588054,98.564875,รอปลูกซ่อม,11F
A2-012,A2,12,Tree,8.588043,98.564846,ปกติ,12
A2-013,A2,13,Tree,8.588033,98.564819,ปกติ,13
A2-014,A2,14,Tree,8.588026,98.564792,ปกติ,14
A2-015,A2,15,Tree,8.588021,98.56477,ปกติ,15
A2-016,A2,16,T,8.588018,98.564748,รอปลูกซ่อม,16F
A3-001,A3,1,H,8.58796,98.565294,ปกติ,1
A3-002,A3,2,Tree,8.587953,98.565256,รอปลูกซ่อม,2F
A3-003,A3,3,Tree,8.587947,98.5652,ปกติ,3
A3-004,A3,4,Tree,8.587948,98.565148,ปกติ,4
A3-005,A3,5,Tree,8.587953,98.565099,ปกติ,5
A3-006,A3,6,Tree,8.587953,98.565053,รอปลูกซ่อม,6F
A3-007,A3,7,Tree,8.587946,98.565012,ปกติ,7
A3-008,A3,8,Tree,8.587929,98.564976,ปกติ,8
A3-009,A3,9,Tree,8.587917,98.564947,ปกติ,9
A3-010,A3,10,Tree,8.587909,98.564913,ปกติ,10
A3-011,A3,11,Tree,8.587904,98.564877,ปกติ,11
A3-012,A3,12,Tree,8.587893,98.56484,ปกติ,12
A3-013,A3,13,Tree,8.587893,98.564804,ปกติ,13
A3-014,A3,14,Tree,8.587889,98.564772,ปกติ,14
A3-015,A3,15,Tree,8.587876,98.564747,ปกติ,15
A3-016,A3,16,Tree,8.587863,98.564717,ปกติ,16
A3-017,A3,17,Tree,8.587855,98.564685,ปกติ,17
A3-018,A3,18,Tree,8.587844,98.564658,ปกติ,18
A3-019,A3,19,Tree,8.587837,98.564634,ปกติ,19
A3-020,A3,20,Tree,8.587823,98.564611,รอปลูกซ่อม,20F
A3-021,A3,21,Tree,8.587816,98.564582,รอปลูกซ่อม,21F
A3-022,A3,22,Tree,8.58781,98.564553,รอปลูกซ่อม,22F
